scene_id	sha256	bytes	path
43649774	a83e99efc1c6d3dac4cf085a93ed471a5885c6b0794325be5030fcea951aacaa	1133066240	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-43649774.tar
48018894	753ed084e98a707b7c7119a1a201a1feb12affaca720c55cc9b5025f2d361a2e	313681920	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-48018894.tar
42445723	aaf2c266eb538f2c705787047bdaaa6b62c476e2bb8f058ae52dbcfe474e7eed	588124160	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-42445723.tar
43896550	20cb078ba0b6c8707f97610da93602bdff1209a82fb5781816616ee921071972	652042240	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-43896550.tar
42445047	361ec536e63bcd684b22ef2b144091d78139a21fc023a0be8293e792de2adccc	1426636800	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-42445047.tar
47333635	f22a5dc3d525e2324f8df0cc2154fd7641ed1f118adf867edc65b1403d180d30	369520640	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47333635.tar
48018778	6244b7c629f31cab42195c37b667296988c0f4683d39695e06bc527a19413203	330383360	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-48018778.tar
48018328	ca7025076cdc6289e52c3e3516068e98cbe95027ad13df705f347cc0e60885c4	590755840	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-48018328.tar
47331771	cab61d561d2119de88b275e3b1b664227e8972a79d089d92a798a9c2091941d5	446545920	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47331771.tar
42444517	ef641f0220b7eb033ba8c2011d9507fe13bafdd543f77b649aeea255820281e8	292782080	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-42444517.tar
47334659	81ce1a7c34c7136ef062771ace8d0fb3cd760eda727d5de0e01d812e487a5c9b	434032640	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47334659.tar
47429678	24d6d04f17700f71b2ad2c76f48a4e4b48cf964a7129632141b373a10a9d5171	110837760	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47429678.tar
48458610	ebe1b284a6d29d7a78f43115f9183c69711e334d3d3d283626c193f6a70de2d4	1904640	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-48458610.tar
47334464	f0bcc428f27a3b7b07ddfdb812873f60b66bfb58f179777b858a2e4f0f3ca389	715253760	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47334464.tar
47430540	f53370672c8ad862974f7b3c4aca64fbc79b15347b2cd712df6382ae22e0c8c0	96174080	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47430540.tar
47331931	86e309db5f0cd023556a8f0f1ae6653a2fce659845c992790447bf130db133df	91811840	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47331931.tar
47670195	37987fc74c7e0c79e0e2bba59a08725a765d78c47651c4e6588f98c73d541e14	110448640	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47670195.tar
48018887	340190dccc945f9c0624fa9f8cd2e60e09d6bfd19558022c98cb6906304003c6	265287680	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-48018887.tar
42897780	4b85bcdc7560515e8c2a26a6399054c615df214254f2cef10e580b7bfe2969ef	1087395840	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-42897780.tar
47332937	37404d98f40485757e9773854b2c46c84c4c00ec5d98665febf86cf798ac237c	330700800	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47332937.tar
47333468	218cb2bef14caec9d87279ab0dc9de892ef5363c2a5667ee4d3e3b5ce3fd7ad7	327403520	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47333468.tar
48458455	493c9f1e161d3e21c771710ae6952f754b3076fed8293f12427774978b1b376d	374282240	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-48458455.tar
44358274	00f1e394d40f95c80f2f1a708fa127e19422f38a1293fa36224bd5a541765d03	614625280	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-44358274.tar
42445670	7753b12f87f9ccb5bd416727666f48864c715b2f5e547bcfc563f6ccf129d7d5	517283840	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-42445670.tar
47331938	dcbabc1e4fc46abc983c6612e28bbcf2990048a1d4bf2e122a6268ff6613320f	1348034560	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47331938.tar
47430395	e98be61e11c1873be4809bdce2533ed03e59fd6a070709c9efc7b6d98d801a49	291604480	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47430395.tar
47430221	57780783c913c5acb3b8737c7ae2c480249b3187fd2d86e63dad552079a70b50	756203520	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-47430221.tar
45261201	cd7f4fe747cb328c4f40f24910f3368fe31df0f4c62ac4d7338887d14c60a393	330076160	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-45261201.tar
44796230	0922e081b41380b8a30a3f5ef6733a705b4d99fbf4ff973ea6f3b8e1a3a1715f	243281920	/extra/ZhaoX/ca1m_apple_train_tars/ca1m-train-44796230.tar
